City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,7.55,79,47,0.63,GL,1721353748
1,baiyin,36.5583,104.2081,23.05,65,98,1.74,CN,1721353748
2,bethel,41.3712,-73.414,23.3,79,0,0.0,US,1721353748
3,vanino,49.0869,140.2543,15.81,99,100,1.84,RU,1721353748
4,puerto natales,-51.7236,-72.4875,4.25,81,40,4.27,CL,1721353749
5,adamstown,-25.066,-130.1015,22.09,89,100,9.66,PN,1721353749
6,starobil's'k,49.2783,38.9107,24.63,57,0,3.15,UA,1721353749
7,yatou,37.15,122.3833,27.56,73,14,6.13,CN,1721353749
8,wewak,-3.5534,143.6268,29.37,71,84,4.47,PG,1721353749
9,dudinka,69.4058,86.1778,10.38,52,0,7.8,RU,1721353749
10,nemuro,43.3236,145.575,16.69,96,100,4.06,JP,1721353749
11,cidreira,-30.1811,-50.2056,14.02,88,1,3.59,BR,1721353750
12,veinticinco de mayo,-35.4323,-60.1727,11.1,89,100,1.91,AR,1721353750
13,blackmans bay,-43.0167,147.3167,9.29,78,100,2.24,AU,1721353750
14,lazaro cardenas,17.9583,-102.2,28.16,77,100,2.61,MX,1721353750
15,port alfred,-33.5906,26.891,11.21,88,2,0.89,ZA,1721353750
16,port-aux-francais,-49.35,70.2167,0.42,79,97,11.32,TF,1721353750
17,bredasdorp,-34.5322,20.0403,8.12,89,3,3.16,ZA,1721353751
18,ponta delgada,37.7333,-25.6667,20.4,88,20,4.63,PT,1721353751
19,zouerate,22.7187,-12.4521,34.32,17,5,4.0,MR,1721353751
20,olonkinbyen,70.9221,-8.7187,4.29,90,100,3.67,SJ,1721353751
21,thompson,55.7435,-97.8558,27.09,61,40,1.03,CA,1721353745
22,el granada,37.5027,-122.4694,25.88,67,20,7.72,US,1721353752
23,waitangi,-43.9535,-176.5597,11.57,80,100,4.92,NZ,1721353752
24,tindouf,27.6711,-8.1474,32.25,33,40,7.2,DZ,1721353752
25,georgetown,5.4112,100.3354,29.41,69,20,5.14,MY,1721353815
26,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,56,20,2.0,RU,1721353816
27,ribeira grande,38.5167,-28.7,19.87,85,12,2.68,PT,1721353816
28,albany,42.6001,-73.9662,20.81,63,52,1.79,US,1721353527
29,chivhu,-19.0211,30.8922,8.81,50,0,1.99,ZW,1721353816
30,grytviken,-54.2811,-36.5092,-1.69,92,55,1.35,GS,1721353816
31,antsiranana,-12.2787,49.2917,22.34,79,48,6.13,MG,1721353816
32,papatowai,-46.5619,169.4708,11.53,76,34,4.07,NZ,1721353816
33,tura,25.5198,90.2201,27.02,93,100,1.51,IN,1721353817
34,buka,40.8108,69.1986,28.05,28,93,3.68,UZ,1721353817
35,atafu village,-8.5421,-172.5159,28.7,73,23,9.1,TK,1721353817
36,jamestown,42.097,-79.2353,16.8,82,0,2.57,US,1721353817
37,nuuk,64.1835,-51.7216,8.34,81,100,2.57,GL,1721353817
38,tiksi,71.6872,128.8694,4.54,89,100,2.61,RU,1721353817
39,castillos,-34.1667,-53.8333,8.8,95,43,1.6,UY,1721353817
40,staraya russa,57.9944,31.3608,14.24,92,4,2.11,RU,1721353817
41,wenling,28.3669,121.36,29.52,82,65,6.33,CN,1721353818
42,katsuren-haebaru,26.3369,127.8719,33.94,72,40,3.09,JP,1721353818
43,kerikeri,-35.2268,173.9474,13.58,96,100,2.28,NZ,1721353818
44,belo sur tsiribihina,-19.7,44.55,14.92,82,0,1.62,MG,1721353818
45,east london,-33.0153,27.9116,15.62,63,7,3.32,ZA,1721353818
46,hasaki,35.7333,140.8333,31.27,79,100,6.75,JP,1721353818
47,zemio,5.0314,25.1361,20.28,95,100,0.95,CF,1721353818
48,tofol,5.3248,163.0078,31.88,70,75,3.6,FM,1721353818
49,ushuaia,-54.8,-68.3,1.81,93,100,8.23,AR,1721353693
50,alice springs,-23.7,133.8833,18.75,26,0,5.14,AU,1721353819
51,kristiansund,63.1115,7.732,11.36,96,82,2.06,NO,1721353819
52,uturoa,-16.7333,-151.4333,25.82,78,12,5.79,PF,1721353819
53,i-n-salah,27.1935,2.4607,36.85,12,7,4.31,DZ,1721353819
54,port mathurin,-19.6833,63.4167,23.08,73,81,6.76,MU,1721353819
55,edinburgh of the seven seas,-37.0676,-12.3116,12.66,63,88,5.34,SH,1721353820
56,azadshahr,34.7909,48.5707,20.16,42,0,2.33,IR,1721353820
57,hermanus,-34.4187,19.2345,11.1,83,4,5.78,ZA,1721353820
58,kiunga,-6.1219,141.2906,23.1,97,97,1.07,PG,1721353820
59,itoman,26.1247,127.6694,33.94,68,20,4.63,JP,1721353820
60,berriane,32.8265,3.7669,37.45,24,41,3.96,DZ,1721353820
61,yellowknife,62.456,-114.3525,24.2,63,75,3.6,CA,1721353820
62,revda,56.801,59.9303,14.95,92,96,0.89,RU,1721353820
63,constantia,44.1833,28.65,27.38,66,19,6.01,RO,1721353821
64,natal,-5.795,-35.2094,23.36,83,20,2.57,BR,1721353648
65,kanggye,40.9695,126.5852,30.08,48,4,2.44,KP,1721353821
66,kilifi,-3.6305,39.8499,23.27,84,28,4.5,KE,1721353821
67,porto novo,6.4965,2.6036,25.9,86,76,4.47,BJ,1721353606
68,nema,57.5067,50.5011,17.18,82,12,2.19,RU,1721353821
69,utrik,11.2278,169.8474,27.88,78,100,5.76,MH,1721353822
70,lensk,60.7253,114.9278,18.34,91,100,2.82,RU,1721353822
71,codrington,-38.2667,141.9667,10.27,72,100,10.86,AU,1721353822
72,invercargill,-46.4,168.35,9.45,81,44,1.34,NZ,1721353822
73,jaguaribe,-5.8906,-38.6219,26.18,52,77,1.55,BR,1721353822
74,amahai,-3.3333,128.9167,24.65,86,100,5.7,ID,1721353822
75,kalabo,-14.97,22.6814,11.61,21,0,1.08,ZM,1721353823
76,saipan,15.1355,145.701,32.39,62,0,6.69,MP,1721353823
77,tommot,58.9564,126.2925,22.1,81,99,2.59,RU,1721353823
78,bilohirsk,45.05,34.6,26.61,41,26,0.88,UA,1721353823
79,punta arenas,-53.15,-70.9167,4.06,81,40,12.86,CL,1721353615
80,douentza,14.9951,-2.9517,30.83,58,100,2.67,ML,1721353823
81,new norfolk,-42.7826,147.0587,7.72,78,100,1.44,AU,1721353823
82,sinabang,2.4803,96.3801,28.97,72,100,2.54,ID,1721353823
83,mossel bay,-34.1831,22.146,9.96,77,0,1.57,ZA,1721353824
84,aasiaat,68.7098,-52.8699,4.27,88,23,2.46,GL,1721353824
85,waingapu,-9.6567,120.2641,27.02,58,74,6.14,ID,1721353824
86,avarua,-21.2078,-159.775,25.03,65,20,3.6,CK,1721353824
87,hudson,40.7168,-74.0663,26.72,52,0,4.47,US,1721353824
88,badger,64.8,-147.5333,17.98,51,75,2.06,US,1721353824
89,mogocha,53.7333,119.7667,17.68,91,99,2.36,RU,1721353825
90,afaahiti,-17.75,-149.2833,27.93,80,1,8.33,PF,1721353825
91,ketchikan,55.3422,-131.6461,18.26,94,100,2.06,US,1721353825
92,iskateley,67.6803,53.1512,8.57,76,11,4.19,RU,1721353825
93,klyuchi,52.2667,79.1667,18.45,91,100,4.01,RU,1721353825
94,nadi,-17.8,177.4167,31.0,45,20,7.72,FJ,1721353826
95,west island,-12.1568,96.8225,27.99,69,20,4.63,CC,1721353826
96,mata-utu,-13.2816,-176.1745,27.7,70,25,8.55,WF,1721353826
97,crasna,47.1667,22.9,19.68,79,0,0.48,RO,1721353826
98,ilulissat,69.2167,-51.1,11.01,62,40,1.03,GL,1721353826
99,la sarre,48.8002,-79.1996,13.31,65,14,2.94,CA,1721353827
100,el calafate,-50.3408,-72.2768,-1.42,73,5,1.83,AR,1721353628
101,biltine,14.5333,20.9167,27.27,65,100,0.81,TD,1721353827
102,udachny,66.4167,112.4,17.46,62,100,4.1,RU,1721353827
103,fengtai,39.5581,117.7492,36.67,36,91,4.91,CN,1721353827
104,nova vicosa,-17.8919,-39.3719,21.01,81,6,2.99,BR,1721353827
105,talnakh,69.4865,88.3972,12.64,51,0,5.1,RU,1721353827
106,chonchi,-42.6128,-73.8092,3.95,88,10,1.77,CL,1721353662
107,mizdah,31.4451,12.9801,22.33,47,0,0.86,LY,1721353828
108,cockburn town,21.4612,-71.1419,28.53,85,21,10.09,TC,1721353828
109,alofi,-19.0595,-169.9187,25.94,78,75,4.63,NU,1721353828
110,kindu,-2.95,25.95,21.06,44,71,0.3,CD,1721353828
111,flying fish cove,-10.4217,105.6791,25.82,83,100,6.17,CX,1721353828
112,altamira,-3.2033,-52.2064,26.27,53,96,1.39,BR,1721353828
113,yarrawonga,-36.0167,146.0,10.28,70,100,5.51,AU,1721353829
114,rikaze,29.25,88.8833,17.54,45,100,0.84,CN,1721353829
115,iqaluit,63.7506,-68.5145,3.85,93,100,2.57,CA,1721353829
116,tazacorte,28.629,-17.9293,20.54,83,0,4.63,ES,1721353829
117,nova xavantina,-14.6667,-52.35,20.39,41,0,1.23,BR,1721353561
118,isafjordur,66.0755,-23.124,7.09,96,100,3.67,IS,1721353829
119,palasa,18.7667,84.4167,29.12,76,100,1.24,IN,1721353829
120,luau,-10.7073,22.2247,14.15,32,5,2.06,AO,1721353830
121,margaret river,-33.95,115.0667,14.57,51,67,7.37,AU,1721353830
122,papao,-17.75,-149.55,28.82,83,7,8.55,PF,1721353830
123,suntar,62.1444,117.6319,19.41,56,100,3.88,RU,1721353830
124,arraial do cabo,-22.9661,-42.0278,18.98,82,0,0.0,BR,1721353631
125,puerto ayora,-0.7393,-90.3518,21.97,92,74,0.89,EC,1721353830
126,griffith,41.5284,-87.4237,20.06,68,0,4.12,US,1721353830
127,quellon,-43.1167,-73.6167,5.19,76,15,4.78,CL,1721353830
128,kalemie,-5.9475,29.1947,20.33,50,51,1.03,CD,1721353831
129,acarau,-2.8856,-40.12,25.08,87,21,4.75,BR,1721353831
130,lihue,21.9789,-159.3672,28.77,60,20,5.66,US,1721353831
131,hithadhoo,-0.6,73.0833,28.16,72,100,1.29,MV,1721353831
132,north haven,41.3909,-72.8595,24.31,74,40,0.89,US,1721353831
133,kailua-kona,19.6406,-155.9956,29.98,76,40,5.14,US,1721353831
134,jamaame,0.0697,42.745,23.77,84,81,4.5,SO,1721353831
135,eyl,7.9803,49.8164,25.11,73,84,10.6,SO,1721353832
136,mariental,-24.6333,17.9667,8.07,53,0,3.43,NA,1721353832
137,bilibino,68.0546,166.4372,12.22,65,98,4.1,RU,1721353832
138,longyearbyen,78.2186,15.6401,6.91,81,20,7.72,SJ,1721353832
139,anadyr,64.75,177.4833,21.28,49,0,6.0,RU,1721353832
140,whitehorse,60.7161,-135.0538,22.43,28,75,5.14,CA,1721353832
141,kiama,-34.6833,150.8667,15.32,50,69,5.36,AU,1721353832
142,stanley,54.868,-1.6985,16.01,89,40,0.0,GB,1721353833
143,brady,31.1352,-99.3351,30.29,32,0,3.6,US,1721353833
144,nogliki,51.8333,143.1667,18.03,86,100,3.79,RU,1721353833
145,la ronge,55.1001,-105.2842,29.14,39,100,2.06,CA,1721353833
146,ugoofaaru,5.6667,73.0,28.58,78,100,6.82,MV,1721353833
147,vilyuysk,63.7553,121.6247,17.74,37,74,3.36,RU,1721353833
148,roma,43.2128,-75.4557,18.08,77,0,1.54,US,1721353834
149,bonthe,7.5264,-12.505,24.46,90,100,5.02,SL,1721353834
150,saint-philippe,-21.3585,55.7679,17.77,70,0,1.45,RE,1721353834
151,kaa-khem,51.6833,94.7333,22.33,65,91,0.81,RU,1721353834
152,ilek,51.5271,53.3831,18.21,80,0,2.33,RU,1721353834
153,ephraim,39.3597,-111.5863,26.56,35,79,4.8,US,1721353834
154,pauini,-7.7136,-66.9764,23.08,57,66,0.41,BR,1721353835
155,gorom-gorom,14.4439,-0.2361,28.09,59,100,4.55,BF,1721353835
156,ad dilam,23.9915,47.1627,32.23,13,91,3.02,SA,1721353835
157,al muwayh,22.4333,41.7583,28.43,22,98,4.79,SA,1721353835
158,takoradi,4.8845,-1.7554,23.39,92,50,3.22,GH,1721353835
159,fale old settlement,-9.3852,-171.2468,28.65,72,54,8.44,TK,1721353835
160,nantucket,41.2835,-70.0995,26.03,75,100,5.72,US,1721353835
161,as saffaniyah,27.9708,48.73,34.39,24,1,6.59,SA,1721353835
162,port elizabeth,-33.918,25.5701,11.84,82,0,2.57,ZA,1721353836
163,mazagao,-0.115,-51.2894,26.03,86,24,1.51,BR,1721353836
164,point pedro,9.8167,80.2333,29.04,72,100,7.14,LK,1721353836
165,tulun,54.5611,100.5792,23.22,60,100,1.55,RU,1721353836
166,saint-pol-sur-mer,51.0312,2.3398,21.11,83,100,2.97,FR,1721353836
167,sitka,57.0531,-135.33,17.94,68,40,0.0,US,1721353836
168,tateyama,34.9833,139.8667,27.37,83,100,9.21,JP,1721353836
169,yarmouth,41.7057,-70.2286,25.57,83,0,2.06,US,1721353837
170,domusnovas,39.3219,8.6486,22.47,44,0,0.3,IT,1721353837
171,weno,7.4515,151.8468,31.97,79,100,3.09,FM,1721353837
172,bamyan,34.75,67.25,10.49,59,0,1.92,AF,1721353837
173,kingston,17.997,-76.7936,30.53,70,20,5.14,JM,1721353837
174,sao miguel,-5.4667,-35.3667,23.43,90,28,4.63,BR,1721353838
175,ithaca,42.4406,-76.4966,18.16,81,0,2.06,US,1721353838
176,mili,6.0815,171.735,27.64,74,99,2.81,MH,1721353838
177,vilyuchinsk,52.9306,158.4028,20.15,80,50,2.74,RU,1721353838
178,ust-nera,64.5667,143.2,22.84,49,61,2.75,RU,1721353838
179,hawaiian paradise park,19.5933,-154.9731,27.8,73,20,4.63,US,1721353838
180,vorgashor,67.5833,63.95,12.73,63,10,2.87,RU,1721353838
181,caleta de carquin,-11.0925,-77.6267,16.8,83,5,5.21,PE,1721353839
182,andergrove,-21.0833,149.1833,22.03,49,60,4.71,AU,1721353839
183,weifang,36.71,119.1019,32.03,63,0,2.7,CN,1721353839
184,fort st. john,56.2499,-120.8529,32.94,18,75,2.06,CA,1721353839
185,tangalle,6.024,80.7911,26.09,85,99,4.11,LK,1721353839
186,mabaruma,8.2,-59.7833,22.78,98,3,0.68,GY,1721353839
187,lethem,3.3803,-59.7968,24.46,89,100,1.9,GY,1721353840
188,geraldton,-28.7667,114.6,14.23,82,100,3.6,AU,1721353840
189,san matias,-16.3667,-58.4,23.58,39,5,2.52,BO,1721353840
190,polyarnyy,69.1989,33.4478,12.61,87,0,1.84,RU,1721353840
191,nykobing sjaelland,55.9249,11.6711,13.34,87,75,4.31,DK,1721353840
192,tokar,18.4254,37.729,34.63,32,100,6.08,SD,1721353840
193,colchani,-20.3,-66.9333,4.8,43,0,1.17,BO,1721353840
194,pundong,-7.9522,110.3486,27.69,60,2,5.11,ID,1721353841
195,urucara,-2.5364,-57.76,25.64,53,25,0.35,BR,1721353841
196,anori,-3.7728,-61.6442,25.77,59,39,0.25,BR,1721353841
197,egilsstadir,65.2653,-14.3948,10.95,71,20,4.63,IS,1721353841
198,mariehamn,60.0973,19.9348,15.46,94,20,3.09,AX,1721353841
199,battipaglia,40.6109,14.9852,24.61,73,0,1.48,IT,1721353841
200,labasa,-16.4167,179.3833,28.07,62,18,4.95,FJ,1721353841
201,benalla,-36.55,145.9833,8.26,75,100,5.2,AU,1721353841
202,wailua homesteads,22.0669,-159.378,28.44,66,20,5.66,US,1721353842
203,volchikha,52.0333,80.3833,19.5,86,91,2.92,RU,1721353842
204,burang,30.25,81.1667,10.92,82,97,2.31,CN,1721353842
205,trencin,48.8333,18.25,19.1,80,100,2.05,SK,1721353842
206,neya,58.2972,43.8681,16.46,82,99,0.29,RU,1721353842
207,rotonda west,26.8837,-82.2901,28.01,94,0,2.57,US,1721353842
208,richards bay,-28.783,32.0377,19.98,74,7,8.73,ZA,1721353778
209,shalya,57.2471,58.7298,14.92,95,95,0.86,RU,1721353843
210,saint-pierre,-21.3393,55.4781,17.82,59,0,2.06,RE,1721353843
211,asubulaq,49.5583,83.0558,20.62,73,64,0.78,KZ,1721353843
212,midvagur,62.0511,-7.1939,10.46,93,40,1.54,FO,1721353843
213,ventspils,57.3894,21.5606,18.96,88,0,3.6,LV,1721353843
214,yoshitomi,33.6025,131.176,28.97,64,71,6.91,JP,1721353843
215,kismayo,-0.3582,42.5454,24.94,80,99,6.81,SO,1721353844
216,san patricio,28.017,-97.5169,30.05,64,99,3.91,US,1721353844
217,kone,-21.0595,164.8658,21.66,55,39,6.37,NC,1721353844
218,namibe,-15.1961,12.1522,16.13,84,73,3.33,AO,1721353844
219,alva,56.1528,-3.8051,16.85,96,100,1.46,GB,1721353844
220,riviere-du-loup,47.8304,-69.5342,18.15,72,7,2.06,CA,1721353758
221,yaren,-0.5472,166.916,28.74,69,100,4.07,NR,1721353844
222,hamilton,39.1834,-84.5333,21.91,67,0,1.79,US,1721353710
223,yuzhno-kurilsk,44.0306,145.8556,15.33,94,100,3.77,RU,1721353845
224,qionghai,19.2425,110.4642,30.02,80,95,4.73,CN,1721353845
225,fort mcmurray,56.7268,-111.381,30.77,45,0,1.54,CA,1721353845
226,bengkulu,-3.8004,102.2655,28.0,74,12,1.69,ID,1721353845
227,port hueneme,34.1478,-119.1951,30.29,74,0,3.09,US,1721353845
228,mount isa,-20.7333,139.5,18.87,26,6,5.14,AU,1721353846
229,nova sintra,14.8667,-24.7167,24.14,86,90,5.5,CV,1721353846
230,lijiang,26.8688,100.2207,18.49,90,100,1.94,CN,1721353846
231,lorengau,-2.0226,147.2712,27.08,85,96,5.39,PG,1721353846
232,embi,48.8264,58.1442,21.7,57,100,2.28,KZ,1721353846
233,ocean shores,46.9737,-124.1563,18.0,82,0,4.63,US,1721353846
234,bereznik,62.8551,42.7072,16.73,89,100,1.06,RU,1721353846
235,san,13.3034,-4.8956,26.94,80,21,4.12,ML,1721353847
236,viedma,-40.8135,-62.9967,6.82,66,0,7.12,AR,1721353847
237,luderitz,-26.6481,15.1594,12.74,78,0,3.41,NA,1721353847
238,ormara,25.2088,64.6357,28.63,86,98,4.67,PK,1721353847
239,westport,41.1415,-73.3579,25.15,73,54,0.45,US,1721353847
240,daru,-9.0763,143.2092,24.2,79,100,7.79,PG,1721353847
241,svetlyy,54.675,20.1347,14.03,88,40,4.35,RU,1721353847
242,vangaindrano,-23.35,47.6,17.4,93,5,1.71,MG,1721353847
243,siran,40.1894,39.1267,14.56,94,0,1.39,TR,1721353848
244,college,64.8569,-147.8028,18.03,50,75,2.06,US,1721353848
245,mandalgovi,45.7625,106.2708,24.45,40,3,3.86,MN,1721353848
246,tianpeng,30.9866,103.9393,26.26,92,100,2.98,CN,1721353848
247,xiahu,26.6106,119.9483,28.75,78,14,1.44,CN,1721353848
248,verkhnevilyuysk,63.4453,120.3167,18.17,39,77,2.82,RU,1721353848
249,saint-jean-de-monts,46.7833,-2.0667,18.48,81,86,3.48,FR,1721353848
250,pilona,43.35,-5.3667,18.99,92,93,1.37,ES,1721353849
251,zeya,53.75,127.2667,22.75,76,100,3.46,RU,1721353849
252,kodiak,57.79,-152.4072,11.73,82,100,4.12,US,1721353849
253,lashio,22.9333,97.75,24.78,87,69,0.63,MM,1721353849
254,kireyevsk,53.9336,37.9279,18.64,97,100,4.71,RU,1721353849
255,st. john's,47.5649,-52.7093,21.66,94,100,8.23,CA,1721353849
256,luang prabang,19.8856,102.1347,25.98,89,100,0.0,LA,1721353849
257,miri,4.4148,114.0089,30.08,66,20,1.54,MY,1721353850
258,usinsk,65.9939,57.5281,13.42,79,100,4.15,RU,1721353850
259,luanda,-8.8368,13.2343,19.21,91,1,2.57,AO,1721353850
260,mana,5.6592,-53.7767,25.33,87,7,3.4,GF,1721353850
261,shirhatti,15.2333,75.5833,21.65,95,100,8.55,IN,1721353850
262,veraval,20.9,70.3667,27.11,92,100,7.64,IN,1721353850
263,lebu,-37.6167,-73.65,7.59,75,5,7.73,CL,1721353850
264,rusape,-18.5278,32.1284,8.89,62,0,2.18,ZW,1721353850
265,susuman,62.7833,148.1667,21.66,50,47,3.04,RU,1721353851
266,fortaleza,-3.7227,-38.5247,27.34,83,20,2.57,BR,1721353751
267,vallo della lucania,40.2297,15.2658,22.53,59,0,1.14,IT,1721353851
268,keflavik,64.0049,-22.5624,11.24,87,75,4.63,IS,1721353851
269,rampur hat,24.1667,87.7833,30.91,69,100,4.62,IN,1721353851
270,grove,51.6095,-1.4219,16.05,87,0,0.0,GB,1721353851
271,altay,47.8667,88.1167,21.32,49,100,3.62,CN,1721353851
272,hun,29.1268,15.9477,27.58,39,0,0.62,LY,1721353852
273,khandyga,62.6667,135.6,25.13,54,99,0.75,RU,1721353852
274,mahina,-17.5065,-149.489,28.87,70,20,6.17,PF,1721353852
275,ghanzi,-21.5667,21.7833,13.07,18,0,4.04,BW,1721353852
276,kenora,49.8167,-94.4337,22.54,60,75,3.6,CA,1721353852
277,ma'rib,15.4591,45.3253,29.3,27,98,2.54,YE,1721353852
278,banda aceh,5.5577,95.3222,29.61,63,100,4.46,ID,1721353852
279,nchelenge,-9.3451,28.734,16.03,45,0,1.57,ZM,1721353853
280,antsohihy,-14.8796,47.9875,18.62,81,8,2.26,MG,1721353853
